사용일자,new_승차수,new_하차수,합,승차비율,하차비율
2022-10-31 05:00:00,604,57,661,9.13767019667171,0.8623298033282906
2022-10-31 06:00:00,970,342,1312,7.3932926829268295,2.606707317073171
2022-10-31 07:00:00,2732,984,3716,7.351991388589881,2.6480086114101185
2022-10-31 08:00:00,2893,1831,4724,6.124047417442846,3.8759525825571552
2022-10-31 09:00:00,1684,1082,2766,6.0882140274765,3.911785972523499
2022-10-31 10:00:00,1275,726,2001,6.371814092953524,3.628185907046477
2022-10-31 11:00:00,1219,725,1944,6.270576131687243,3.729423868312757
2022-10-31 12:00:00,1258,813,2071,6.0743602124577505,3.9256397875422504
2022-10-31 13:00:00,1161,968,2129,5.453264443400657,4.546735556599343
2022-10-31 14:00:00,1054,1005,2059,5.1189898008742105,4.8810101991257895
2022-10-31 15:00:00,1100,1162,2262,4.862953138815208,5.137046861184793
2022-10-31 16:00:00,1268,1417,2685,4.722532588454376,5.277467411545624
2022-10-31 17:00:00,1503,1712,3215,4.674961119751166,5.325038880248834
2022-10-31 18:00:00,1781,2615,4396,4.051410373066424,5.948589626933575
2022-10-31 19:00:00,806,2280,3086,2.611795204147764,7.388204795852236
2022-10-31 20:00:00,613,1351,1964,3.121181262729124,6.878818737270875
2022-10-31 21:00:00,507,1339,1846,2.7464788732394365,7.253521126760564
2022-10-31 22:00:00,359,1173,1532,2.343342036553525,7.6566579634464755
2022-10-31 23:00:00,124,763,887,1.3979706877113867,8.602029312288613
2022-11-01 00:00:00,18,214,232,0.7758620689655172,9.224137931034482
