역이름,lat,lon,인구,color
마곡나루,37.567,126.826,1133,"[161, 243, 114]"
마곡나루,37.567,126.828,1765,"[239, 92, 88]"
양천향교,37.568,126.842,1212,"[161, 243, 114]"
양천향교,37.568,126.844,1493,"[239, 92, 88]"
가양,37.561,126.85,2893,"[161, 243, 114]"
가양,37.561,126.852,1831,"[239, 92, 88]"
염창,37.547,126.877,3175,"[161, 243, 114]"
염창,37.547,126.879,798,"[239, 92, 88]"
당산,37.534,126.902,2206,"[161, 243, 114]"
당산,37.534,126.904,1566,"[239, 92, 88]"
국회의사당,37.528,126.918,277,"[161, 243, 114]"
국회의사당,37.528,126.92,5537,"[239, 92, 88]"
여의도,37.522,126.926,432,"[161, 243, 114]"
여의도,37.522,126.928,6725,"[239, 92, 88]"
노량진,37.514,126.938,3129,"[161, 243, 114]"
노량진,37.514,126.94,2435,"[239, 92, 88]"
흑석,37.509,126.959,817,"[161, 243, 114]"
흑석,37.509,126.961,1083,"[239, 92, 88]"
고속터미널,37.506,127.003,636,"[161, 243, 114]"
고속터미널,37.506,127.005,843,"[239, 92, 88]"
신논현,37.504,127.02,1486,"[161, 243, 114]"
신논현,37.504,127.022,2822,"[239, 92, 88]"
